HEALTH_CENTER,HEALTH_CENTER_CODE,ADDRESS,STREET_NAME,SUFX,CITY,STATE,ZIPCODE,PHONE,CARE_TYPE,MONDAY_OPEN,MONDAY_CLOSE,TUESDAY_OPEN,TUESDAY_CLOSE,WEDNESDAY_OPEN,WEDNESDAY_CLOSE,THURSDAY_OPEN,THURSDAY_CLOSE,FRIDAY_OPEN,FRIDAY_CLOSE,SPECIAL_HOURS_NOTES,SERVICES_PROVIDED,CENTER_DESCRIPTION,INSURANCE_ACCEPTED,TITLE_X_SERVICES,NEIGHBORHOOD,LATITUDE,LONGITUDE,ADULT,PEDIATRICS,OB,NURSING_SERVICES,LAB,IMMUNIZATIONS,OUTREACH_ENROLLMENT_SERVICES,GYN,STI_TESTING,PHARMACY,DIABETIC_EDUCATION,WIC,BEHAVIORAL_HEALTH,SAFE_PLACE
Ambrose H. Clement Health Center,CCPC AMBROSE CLEMENT,3559 Reading Road Suite 101,BURNET,AV,CINCINNATI,OH,"45,229",513-357-7300,MEDICAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Walk-In Appointments for STI Testing Available.,"Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Immunizations, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,AVONDALE,39.1466106981528,-84.4903228441219,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
Aiken High School Health Center,CCPC AIKEN SBHC,5641 BELMONT AV,BELMONT,AV,CINCINNATI,OH,"45,224",513-363-6758,SCHOOL & ADOLESCENT HEALTH,7:30 AM,4:00 PM,7:30 AM,4:00 PM,7:30 AM,4:00 PM,7:30 AM,4:00 PM,7:30 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,COLLEGE HILL,39.1923490782486,-84.5502821959505,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Academy of World Languages School Health Center,CCPC AWL SBHC,2030 FAIRFAX AV,FAIRFAX,AV,CINCINNATI,OH,"45,207",513-363-7843,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,EVANSTON,39.1354761949146,-84.462022667845,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Academy of World Languages School Health Center: Dental,CCPC AWL DENTAL,2030 FAIRFAX AV,FAIRFAX,AV,CINCINNATI,OH,"45,207",513-363-7843,SCHOOL & ADOLESCENT HEALTH: DENTAL,7:30 AM,3:30 PM,7:30 AM,3:30 PM,7:30 AM,3:30 PM,7:30 AM,3:30 PM,7:30 AM,3:30 PM,,,,,,EVANSTON,39.1354761949146,-84.462022667845,,,,,,,,,,,,,,
Academy of World Languages School Health Center: Vision,CCPC AWL VISION,2030 FAIRFAX AV,FAIRFAX,AV,CINCINNATI,OH,"45,207",513-363-7858,VISION,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,,,,EVANSTON,39.1354761949146,-84.462022667845,,,,,,,,,,,,,,
Braxton F. Cann Memorial Medical Center,CCPC BRAXTON CANN,5818 MADISON RD,MADISON,RD,CINCINNATI,OH,"45,227",513-263-8750,MEDICAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,10:00 AM,7:00 PM,8:00 AM,5:00 PM,First Tuesday of each month hours are 1-5pm; Third Friday of each month closed from 8-10am,"Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,MADISONVILLE,39.1609677185286,-84.3936885840699,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Citylink Center Dental Health Care,CCPC CITYLINK DENTAL,800 BANK ST,BANK,ST,CINCINNATI,OH,"45,214",513-357-2000,DENTAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,8:30 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)",Community Health Center Dental sites provide comprehensive general dental services.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST END,39.1198528666867,-84.5274232449952,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Citylink Center Vision Health Care,CCPC CITYLINK VISION,800 BANK ST,BANK,ST,CINCINNATI,OH,"45,214",513-357-2000,VISION,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,8:30 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Saturday hours only second and fourth Saturdays of the month: April - October,Vision Services,,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST END,39.1198528666867,-84.5274232449952,Yes,No,No,No,No,No,No,No,No,No,No,No,No,
Crest Smile Shoppe,CCPC CREST SMILE,612 ROCKDALE AV,ROCKDALE,AV,CINCINNATI,OH,"45,229",513-352-4072,DENTAL,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,1:30 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,AVONDALE,39.1449164684636,-84.4946234460191,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Bobbie Sterne Health Center Dental,CCPC ELM ST DENTAL,1525 ELM ST,ELM,ST,CINCINNATI,OH,"45,202",513-352-2927,DENTAL,7:00 AM,6:30 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,12:00 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,OVER-THE-RHINE,39.1121879255939,-84.5193939667898,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Bobbie Sterne Health Center,CCPC ELM ST.,1525 ELM ST,ELM,ST,CINCINNATI,OH,"45,202",513-352-3092,MEDICAL,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,"Closed 1st Tuesday of every month (8-1pm), and 3rd Thursday of every month (8-9am)","Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Dental, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,OVER-THE-RHINE,39.1121879255939,-84.5193939667898,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Ethel M. Taylor Academy Health Center,CCPC ETHEL TAYLOR SBH,1930 FRICKE RD,FRICKE,RD,CINCINNATI,OH,"45,225",513-363-3645,SCHOOL & ADOLESCENT HEALTH,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,MILLVALE,39.1474362962906,-84.55213878,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
John P. Parker Health Center,CCPC JOHN P PARKER,5051 ANDERSON PL,ANDERSON,PL,CINCINNATI,OH,"45,227",513-363-2921,SCHOOL & ADOLESCENT HEALTH,,,,,8:00 AM,2:30 PM,,,,,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,MADISONVILLE,39.1630347371226,-84.4003767349195,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
